Recall,Precision
1.723076850175857544e-01,1.000000000000000000e+00
1.743589788675308228e-01,1.000000000000000000e+00
1.764102578163146973e-01,1.000000000000000000e+00
1.784615367650985718e-01,1.000000000000000000e+00
1.805128157138824463e-01,1.000000000000000000e+00
1.825641095638275146e-01,1.000000000000000000e+00
1.846153885126113892e-01,1.000000000000000000e+00
1.866666674613952637e-01,1.000000000000000000e+00
1.887179464101791382e-01,1.000000000000000000e+00
1.897435933351516724e-01,1.000000000000000000e+00
1.917948722839355469e-01,1.000000000000000000e+00
1.938461512327194214e-01,1.000000000000000000e+00
1.958974301815032959e-01,1.000000000000000000e+00
1.979487240314483643e-01,1.000000000000000000e+00
2.000000029802322388e-01,1.000000000000000000e+00
2.020512819290161133e-01,1.000000000000000000e+00
2.041025608777999878e-01,1.000000000000000000e+00
2.061538398265838623e-01,1.000000000000000000e+00
2.082051336765289307e-01,1.000000000000000000e+00
2.102564126253128052e-01,1.000000000000000000e+00
2.123076915740966797e-01,1.000000000000000000e+00
2.143589705228805542e-01,1.000000000000000000e+00
2.164102494716644287e-01,1.000000000000000000e+00
2.184615433216094971e-01,1.000000000000000000e+00
2.205128222703933716e-01,1.000000000000000000e+00
2.225641012191772461e-01,1.000000000000000000e+00
2.246153801679611206e-01,1.000000000000000000e+00
2.266666740179061890e-01,1.000000000000000000e+00
2.276923060417175293e-01,1.000000000000000000e+00
2.297435849905014038e-01,1.000000000000000000e+00
2.317948788404464722e-01,1.000000000000000000e+00
2.338461577892303467e-01,1.000000000000000000e+00
2.358974367380142212e-01,1.000000000000000000e+00
2.379487156867980957e-01,1.000000000000000000e+00
2.399999946355819702e-01,1.000000000000000000e+00
2.420512884855270386e-01,1.000000000000000000e+00
2.441025674343109131e-01,1.000000000000000000e+00
2.461538463830947876e-01,1.000000000000000000e+00
2.482051253318786621e-01,1.000000000000000000e+00
2.502564191818237305e-01,1.000000000000000000e+00
2.523076832294464111e-01,1.000000000000000000e+00
2.533333301544189453e-01,9.959677457809448242e-01
2.553846240043640137e-01,9.959999918937683105e-01
2.574358880519866943e-01,9.960317611694335938e-01
2.594871819019317627e-01,9.960629940032958984e-01
2.615384757518768311e-01,9.960937500000000000e-01
2.635897397994995117e-01,9.961240291595458984e-01
2.646153867244720459e-01,9.961389899253845215e-01
2.666666805744171143e-01,9.961685538291931152e-01
2.676922976970672607e-01,9.923954606056213379e-01
2.697435915470123291e-01,9.924528598785400391e-01
2.717948853969573975e-01,9.925093650817871094e-01
2.738461494445800781e-01,9.925650358200073242e-01
2.758974432945251465e-01,9.926199316978454590e-01
2.789743542671203613e-01,9.927007555961608887e-01
2.810256481170654297e-01,9.927536249160766602e-01
2.830769121646881104e-01,9.928057789802551270e-01
2.851282060146331787e-01,9.928571581840515137e-01
2.871794998645782471e-01,9.929078221321105957e-01
2.892307639122009277e-01,9.929577708244323730e-01
2.912820577621459961e-01,9.930070042610168457e-01
2.933333218097686768e-01,9.930555820465087891e-01
2.953846156597137451e-01,9.931034445762634277e-01
2.974359095096588135e-01,9.931507110595703125e-01
2.994871735572814941e-01,9.931972622871398926e-01
3.005128204822540283e-01,9.932203292846679688e-01
3.025641143321990967e-01,9.932659864425659180e-01
3.046153783798217773e-01,9.933110475540161133e-01
3.066666722297668457e-01,9.933554530143737793e-01
3.087179362773895264e-01,9.933993220329284668e-01
3.107692301273345947e-01,9.934425950050354004e-01
3.128205239772796631e-01,9.934853315353393555e-01
3.148717880249023438e-01,9.935275316238403320e-01
3.169230818748474121e-01,9.935691356658935547e-01
3.189743459224700928e-01,9.936102032661437988e-01
3.210256397724151611e-01,9.936507940292358398e-01
3.230769336223602295e-01,9.936908483505249023e-01
